UNITID,uni_total_enrollment,uni_total_nonresident_enrollment,uni_undergrad_enrollment,uni_undergrad_nonresident_enrollment,uni_graduate_enrollment,uni_graduate_nonresident_enrollment,uni_total_nonresident_pct,uni_undergrad_nonresident_pct,uni_graduate_nonresident_pct
107743,786,31,786.0,31.0,,,3.9440203562340965,3.9440203562340965,
107789,99,1,99.0,1.0,,,1.0101010101010102,1.0101010101010102,
107831,54,0,54.0,0.0,,,0.0,0.0,
107840,287,0,287.0,0.0,,,0.0,0.0,
107877,517,42,495.0,42.0,22.0,0.0,8.123791102514506,8.484848484848486,0.0
107974,1207,11,1207.0,11.0,,,0.9113504556752278,0.9113504556752278,
107983,4732,736,3084.0,39.0,1648.0,697.0,15.553677092138631,1.264591439688716,42.29368932038835
107992,991,0,991.0,0.0,,,0.0,0.0,
108065,8,0,8.0,0.0,,,0.0,0.0,
108092,5496,56,5459.0,56.0,37.0,0.0,1.0189228529839884,1.0258289063931123,0.0
108232,5498,910,3644.0,421.0,1854.0,489.0,16.55147326300473,11.553238199780461,26.375404530744333
108269,114,1,,,114.0,1.0,0.8771929824561403,,0.8771929824561403
108667,6141,34,6141.0,34.0,,,0.5536557563914672,0.5536557563914672,
108807,11463,12,11463.0,12.0,,,0.10468463752944254,0.10468463752944254,
108852,112,39,112.0,39.0,,,34.82142857142857,34.82142857142857,
108861,108,9,17.0,2.0,91.0,7.0,8.333333333333332,11.76470588235294,7.6923076923076925
108870,379,182,,,379.0,182.0,48.02110817941953,,48.02110817941953
108977,334,2,334.0,2.0,,,0.5988023952095809,0.5988023952095809,
109040,2168,0,2168.0,0.0,,,0.0,0.0,
109208,30462,47,30462.0,47.0,,,0.15429059155669358,0.15429059155669358,
109350,13532,17,13532.0,17.0,,,0.12562814070351758,0.12562814070351758,
109651,2308,1089,2038.0,906.0,270.0,183.0,47.183708838821495,44.45534838076546,67.77777777777779
109721,315,0,315.0,0.0,,,0.0,0.0,
109785,6272,239,2759.0,120.0,3513.0,119.0,3.810586734693878,4.349401957230881,3.387418161115855
109819,30746,63,30746.0,63.0,,,0.20490470305080336,0.20490470305080336,
109907,3226,3,3226.0,3.0,,,0.09299442033477992,0.09299442033477992,
109934,341,0,341.0,0.0,,,0.0,0.0,
110060,263,114,205.0,82.0,58.0,32.0,43.346007604562736,40.0,55.172413793103445
110097,5434,539,3481.0,238.0,1953.0,301.0,9.919028340080972,6.837115771330078,15.412186379928317
110194,307,0,307.0,0.0,,,0.0,0.0,
110219,2519,0,2512.0,0.0,7.0,0.0,0.0,0.0,0.0
110246,10968,84,10968.0,84.0,,,0.7658643326039387,0.7658643326039387,
110316,1874,45,38.0,0.0,1836.0,45.0,2.40128068303095,0.0,2.450980392156863
110334,9457,54,9457.0,54.0,,,0.5710056043142645,0.5710056043142645,
110361,11902,330,8417.0,155.0,3485.0,175.0,2.7726432532347505,1.8415112272781278,5.0215208034433285
110370,1308,458,1004.0,318.0,304.0,140.0,35.015290519877674,31.673306772908365,46.05263157894737
110398,1195,69,,,1195.0,69.0,5.7740585774058575,,5.7740585774058575
110404,2430,810,987.0,139.0,1443.0,671.0,33.33333333333333,14.083080040526848,46.5003465003465
110413,3351,230,2297.0,84.0,1054.0,146.0,6.863622799164429,3.656943839791032,13.851992409867172
110422,23069,218,22033.0,187.0,1036.0,31.0,0.9449911136156748,0.8487269096355468,2.9922779922779923
110468,4530,313,391.0,0.0,4139.0,313.0,6.9094922737306845,0.0,7.5622130949504704
110486,10419,129,8865.0,112.0,1554.0,17.0,1.2381226605240425,1.263395375070502,1.093951093951094
110495,9724,64,8455.0,55.0,1269.0,9.0,0.658165364047717,0.6505026611472502,0.7092198581560284
110510,18492,539,15365.0,180.0,3127.0,359.0,2.9147739563054293,1.171493654409372,11.480652382475217
110529,27636,585,25255.0,293.0,2381.0,292.0,2.116804168475901,1.1601663037022372,12.263754724905501
110538,15257,319,13792.0,181.0,1465.0,138.0,2.0908435472242246,1.312354988399072,9.419795221843003
110547,15182,376,12632.0,126.0,2550.0,250.0,2.476617046502437,0.9974667511082964,9.803921568627452
110556,24427,696,21954.0,491.0,2473.0,205.0,2.849306095713759,2.236494488475904,8.289526890416498
110565,43662,1002,38760.0,408.0,4902.0,594.0,2.2949017452246805,1.0526315789473684,12.11750305997552
110574,12326,863,9909.0,255.0,2417.0,608.0,7.0014603277624525,2.5734181047532547,25.15515101365329
110583,42003,1527,36082.0,878.0,5921.0,649.0,3.635454610384972,2.43334626683665,10.9609863198784
110592,23163,468,19586.0,214.0,3577.0,254.0,2.0204636705090016,1.0926171755335443,7.100922560805143
110608,38313,1632,32756.0,952.0,5557.0,680.0,4.259650771278678,2.9063377701795092,12.236818427208926
110617,31943,724,28820.0,473.0,3123.0,251.0,2.2665372695113173,1.6412213740458017,8.03714377201409
110635,45882,7266,33070.0,3255.0,12812.0,4011.0,15.836275663658952,9.842757786513456,31.306587574149237
110644,40065,5985,32273.0,4146.0,7792.0,1839.0,14.938225383751405,12.846652000123942,23.60112936344969
110653,37297,5850,30204.0,3713.0,7093.0,2137.0,15.684907633321716,12.29307376506423,30.128295502608204
110662,47335,6352,33475.0,2574.0,13860.0,3778.0,13.419245801204182,7.689320388349515,27.258297258297258
110671,26384,2326,22600.0,836.0,3784.0,1490.0,8.815949060036386,3.6991150442477876,39.37632135306554
110680,44256,8029,34955.0,3891.0,9301.0,4138.0,18.142172812725956,11.131454727506794,44.48983980217181
110699,3007,316,,,3007.0,316.0,10.50881277020286,,10.50881277020286
110705,26133,3111,23181.0,2091.0,2952.0,1020.0,11.90448857766043,9.020318364177559,34.552845528455286
110714,19938,1187,17940.0,544.0,1998.0,643.0,5.953455712709399,3.032329988851728,32.18218218218218
